What is the best-selling album of all time (retrieved 2019)?, Thriller by Michael Jackson, ...Baby One More Time by Britney Spears, Music Box by Mariah Carey, Millenium by Backstreet Boys
What is the typical speed of an LP (long playing) record?, 33 1/3 rpm, 12 rpm, 50 rpm, 70 rpm
When did the first MP3 player (batch production) hit the market?, 1998, 1993, 1995, 2000
What's the name of a famous song by John Lennon?, Imagine, Thunderstruck, Lemon Tree, Better Now 
Finish the lyric: "Hey Jude don't make it bad"?, Take a sad song and make it better, Follow her down to a bridge by a fountain, Remember to let her into your heart, The girl with the kaleidoscope eyes
Which song was made by the famous US-Band "The Killers"?, Mr. Brightside, Lady Marmelade, Billie Jean, Adam's Song
Who is the original artist of the song "I Will Always Love You"?, Dolly Parton, Whitney Houston, Mariah Carey, Alicia Keys
Which of the following scores was not written by Hans Zimmer?, The Island, Interstellar, The Lion King, Gladiator
Who wrote the famous piano score for the movie Amelie?, Yann Tiersen, Klaus Badelt, Steve Jablonsky, Ramin Djawadi
Which of the following songs is from David Bowie?, Space Oddity, Howlin' For You, Rocket Man, Summer Of '69
In which country did Frederic Chopin grow up?, Poland, Austria, Soviet Union, Switzerland
For which classical area is Claude Debussy known for?, Impressionism, Romantic, Expressionism, Baroque
Which of the following is no band member of the Beatles?, John Lemon, Paul McCartney, George Harrison, Ringo Starr
Which symphony by Antonin Dvorak is known as "New World Sympthony"?, 9., 12., 8., 42.
